edad,sexo,altura_cm,peso_kg,nivel_actividad,objetivo,calorias_diarias,proteina_g,carbohidratos_g,grasas_g
35,mujer,155.0,101.1,moderado,bajar,2047.8,153.6,204.8,68.3
56,mujer,173.6,81.0,intenso,bajar,2008.2,150.6,200.8,66.9
29,mujer,192.8,55.1,sedentario,bajar,1240.0,93.0,124.0,41.3
61,hombre,165.5,92.2,muy_intenso,subir,3547.1,266.0,354.7,118.2
28,hombre,150.5,66.2,muy_intenso,mantener,2788.5,209.1,278.8,92.9
25,mujer,174.2,98.8,sedentario,bajar,1648.9,123.7,164.9,55.0
44,mujer,173.6,59.3,muy_intenso,subir,2864.3,214.8,286.4,95.5
33,mujer,182.1,99.9,muy_intenso,bajar,2941.1,220.6,294.1,98.0
58,hombre,185.3,54.6,ligero,subir,2351.3,176.3,235.1,78.4
60,mujer,161.2,45.1,ligero,subir,1771.6,132.9,177.2,59.1
35,mujer,189.1,98.4,moderado,bajar,2336.3,175.2,233.6,77.9
64,mujer,192.3,85.5,ligero,mantener,2166.8,162.5,216.7,72.2
52,mujer,159.2,59.9,ligero,subir,2012.9,151.0,201.3,67.1
23,mujer,153.1,98.6,ligero,subir,2692.0,201.9,269.2,89.7
50,hombre,185.6,91.1,ligero,mantener,2510.8,188.3,251.1,83.7
28,mujer,162.3,48.1,intenso,bajar,1560.3,117.0,156.0,52.0
55,hombre,183.3,102.2,moderado,mantener,2941.3,220.6,294.1,98.0
56,mujer,153.7,76.7,moderado,mantener,1994.3,149.6,199.4,66.5
59,hombre,179.3,51.9,sedentario,subir,2019.5,151.5,202.0,67.3
33,mujer,165.5,57.0,moderado,bajar,1481.5,111.1,148.1,49.4
45,hombre,192.1,71.7,sedentario,bajar,1537.1,115.3,153.7,51.2
42,mujer,169.2,60.1,muy_intenso,mantener,2446.2,183.5,244.6,81.5
39,mujer,160.0,79.4,intenso,bajar,1980.6,148.5,198.1,66.0
28,hombre,153.6,86.8,moderado,bajar,2124.2,159.3,212.4,70.8
48,mujer,184.2,81.4,ligero,mantener,2150.8,161.3,215.1,71.7
18,mujer,181.5,78.0,muy_intenso,mantener,3160.4,237.0,316.0,105.3
65,mujer,153.1,108.8,ligero,mantener,2143.5,160.8,214.3,71.4
57,mujer,190.6,68.5,intenso,subir,2867.2,215.0,286.7,95.6
56,mujer,192.3,80.4,moderado,mantener,2425.6,181.9,242.6,80.9
22,mujer,168.7,94.5,moderado,subir,3079.0,230.9,307.9,102.6
41,mujer,166.5,93.3,muy_intenso,bajar,2554.5,191.6,255.4,85.1
22,mujer,156.7,47.1,ligero,subir,2021.6,151.6,202.2,67.4
62,mujer,185.2,99.5,sedentario,subir,2417.8,181.3,241.8,80.6
48,mujer,160.3,101.2,moderado,mantener,2500.0,187.5,250.0,83.3
46,hombre,163.3,97.1,intenso,bajar,2547.4,191.1,254.7,84.9
62,hombre,166.9,59.1,muy_intenso,mantener,2525.3,189.4,252.5,84.2
60,mujer,169.7,106.3,moderado,mantener,2577.1,193.3,257.7,85.9
23,mujer,194.4,69.0,sedentario,mantener,1954.8,146.6,195.5,65.2
25,hombre,175.9,104.9,intenso,subir,3898.9,292.4,389.9,130.0
51,hombre,165.3,84.4,sedentario,bajar,1452.5,108.9,145.3,48.4
22,hombre,166.9,108.5,intenso,subir,3889.9,291.7,389.0,129.7
41,mujer,170.9,78.9,ligero,bajar,1550.3,116.3,155.0,51.7
22,mujer,191.4,72.8,intenso,mantener,2851.9,213.9,285.2,95.1
49,hombre,177.4,89.6,intenso,subir,3444.2,258.3,344.4,114.8
34,hombre,172.2,63.7,intenso,mantener,2670.7,200.3,267.1,89.0
42,hombre,174.3,92.3,moderado,mantener,2801.4,210.1,280.1,93.4
20,hombre,163.3,49.5,sedentario,subir,2104.8,157.9,210.5,70.2
30,mujer,188.8,93.1,ligero,bajar,1975.0,148.1,197.5,65.8
19,hombre,152.2,54.5,muy_intenso,mantener,2671.9,200.4,267.2,89.1
44,hombre,187.7,80.1,intenso,bajar,2534.5,190.1,253.4,84.5
35,hombre,188.4,106.9,muy_intenso,bajar,3445.3,258.4,344.5,114.8
43,mujer,151.0,100.8,moderado,bajar,1942.4,145.7,194.2,64.7
62,mujer,192.4,70.0,moderado,bajar,1718.8,128.9,171.9,57.3
51,mujer,160.1,90.6,muy_intenso,mantener,2832.2,212.4,283.2,94.4
55,hombre,172.4,72.8,intenso,subir,3048.7,228.7,304.9,101.6
35,hombre,184.0,85.6,moderado,mantener,2845.8,213.4,284.6,94.9
41,mujer,151.9,97.2,intenso,mantener,2683.0,201.2,268.3,89.4
25,hombre,194.2,104.3,intenso,mantener,3685.9,276.4,368.6,122.9
54,hombre,153.6,62.0,sedentario,mantener,1578.0,118.3,157.8,52.6
21,mujer,155.4,85.7,intenso,mantener,2694.9,202.1,269.5,89.8
30,mujer,184.1,91.4,muy_intenso,bajar,2831.9,212.4,283.2,94.4
36,hombre,176.0,65.3,intenso,subir,3122.1,234.2,312.2,104.1
39,hombre,159.6,86.0,intenso,mantener,2876.4,215.7,287.6,95.9
53,hombre,182.2,45.7,moderado,bajar,1570.4,117.8,157.0,52.3
32,hombre,175.6,93.4,intenso,mantener,3237.0,242.8,323.7,107.9
29,mujer,158.7,59.2,moderado,bajar,1480.7,111.1,148.1,49.4
40,hombre,172.7,108.9,ligero,mantener,2713.4,203.5,271.3,90.4
54,mujer,154.3,99.3,intenso,bajar,2133.0,160.0,213.3,71.1
27,mujer,176.6,101.0,intenso,subir,3535.6,265.2,353.6,117.9
42,mujer,152.6,80.0,ligero,subir,2301.3,172.6,230.1,76.7
22,mujer,163.4,108.2,muy_intenso,mantener,3481.3,261.1,348.1,116.0
50,mujer,172.8,67.7,sedentario,mantener,1615.2,121.1,161.5,53.8
30,hombre,186.9,74.1,ligero,mantener,2425.7,181.9,242.6,80.9
30,mujer,156.4,63.7,intenso,bajar,1748.5,131.1,174.9,58.3
48,mujer,151.3,58.5,ligero,mantener,1553.2,116.5,155.3,51.8
43,hombre,182.5,51.5,moderado,mantener,2240.7,168.1,224.1,74.7
42,hombre,183.1,63.6,moderado,subir,2841.8,213.1,284.2,94.7
25,hombre,170.9,84.5,intenso,bajar,2593.1,194.5,259.3,86.4
40,hombre,165.7,91.9,ligero,subir,2819.5,211.5,281.9,94.0
62,hombre,180.0,77.5,sedentario,mantener,1914.0,143.5,191.4,63.8
30,mujer,177.6,48.5,ligero,bajar,1265.5,94.9,126.6,42.2
39,hombre,192.0,79.4,ligero,mantener,2480.5,186.0,248.1,82.7
52,hombre,187.2,96.0,moderado,bajar,2406.2,180.5,240.6,80.2
41,mujer,178.2,96.4,moderado,bajar,2153.2,161.5,215.3,71.8
52,mujer,165.0,100.1,intenso,bajar,2279.4,171.0,227.9,76.0
28,hombre,186.3,83.5,moderado,mantener,2889.8,216.7,289.0,96.3
54,mujer,169.5,89.6,ligero,mantener,2096.0,157.2,209.6,69.9
40,hombre,181.9,74.7,muy_intenso,subir,3608.9,270.7,360.9,120.3
21,mujer,166.1,80.7,muy_intenso,subir,3400.3,255.0,340.0,113.3
37,mujer,166.2,95.5,moderado,mantener,2554.0,191.6,255.4,85.1
20,mujer,178.3,72.0,moderado,subir,2838.7,212.9,283.9,94.6
29,mujer,153.1,50.4,sedentario,mantener,1385.8,103.9,138.6,46.2
40,mujer,151.4,59.3,intenso,mantener,2032.5,152.4,203.2,67.7
35,hombre,183.5,86.1,moderado,subir,3248.7,243.7,324.9,108.3
62,mujer,187.9,53.8,intenso,mantener,2141.4,160.6,214.1,71.4
32,hombre,174.6,79.4,sedentario,subir,2476.3,185.7,247.6,82.5
59,hombre,195.0,92.2,sedentario,subir,2620.9,196.6,262.1,87.4
52,mujer,158.5,100.2,muy_intenso,bajar,2486.1,186.5,248.6,82.9
40,mujer,183.3,104.9,muy_intenso,bajar,2983.9,223.8,298.4,99.5
32,hombre,165.5,49.8,muy_intenso,subir,3017.0,226.3,301.7,100.6
59,hombre,165.5,47.3,moderado,mantener,1886.9,141.5,188.7,62.9
59,hombre,166.1,51.7,ligero,bajar,1239.5,93.0,124.0,41.3
27,mujer,155.4,83.4,ligero,mantener,2075.2,155.6,207.5,69.2
38,hombre,190.1,64.6,sedentario,bajar,1478.9,110.9,147.9,49.3
58,hombre,187.3,72.5,intenso,mantener,2778.3,208.4,277.8,92.6
40,hombre,162.2,97.0,ligero,mantener,2459.5,184.5,246.0,82.0
31,mujer,178.5,90.9,ligero,subir,2749.4,206.2,274.9,91.6
41,hombre,157.4,52.1,ligero,bajar,1294.0,97.1,129.4,43.1
43,mujer,191.3,106.3,intenso,subir,3647.5,273.6,364.8,121.6
35,hombre,188.8,105.9,muy_intenso,subir,4331.1,324.8,433.1,144.4
32,hombre,183.7,108.6,intenso,bajar,3086.5,231.5,308.6,102.9
21,mujer,193.9,100.3,muy_intenso,subir,4102.9,307.7,410.3,136.8
42,mujer,160.0,81.5,intenso,bajar,1990.9,149.3,199.1,66.4
29,mujer,159.0,57.5,moderado,subir,2357.3,176.8,235.7,78.6
20,hombre,150.8,101.9,muy_intenso,bajar,3046.3,228.5,304.6,101.5
56,mujer,162.2,106.0,moderado,mantener,2530.8,189.8,253.1,84.4
49,mujer,176.4,68.6,moderado,mantener,2142.9,160.7,214.3,71.4
30,hombre,170.4,78.3,muy_intenso,mantener,3235.7,242.7,323.6,107.9
26,hombre,165.4,62.7,intenso,subir,3049.2,228.7,304.9,101.6
51,mujer,167.5,68.8,moderado,bajar,1544.3,115.8,154.4,51.5
30,mujer,170.6,104.2,muy_intenso,bajar,2914.8,218.6,291.5,97.2
56,mujer,192.2,84.0,sedentario,mantener,1920.3,144.0,192.0,64.0
61,mujer,169.9,67.4,sedentario,mantener,1523.8,114.3,152.4,50.8
56,hombre,169.0,71.9,muy_intenso,bajar,2350.5,176.3,235.0,78.3
22,hombre,159.0,66.5,ligero,mantener,2136.4,160.2,213.6,71.2
36,mujer,153.2,45.4,moderado,mantener,1659.3,124.4,165.9,55.3
49,hombre,157.3,72.9,intenso,subir,2939.4,220.5,293.9,98.0
29,mujer,156.8,94.4,ligero,subir,2624.8,196.9,262.5,87.5
37,hombre,168.0,79.0,ligero,mantener,2282.5,171.2,228.2,76.1
29,mujer,176.9,57.1,muy_intenso,subir,3004.2,225.3,300.4,100.1
20,hombre,165.1,102.7,sedentario,bajar,1856.7,139.2,185.7,61.9
46,hombre,162.5,71.8,moderado,mantener,2338.4,175.4,233.8,77.9
32,hombre,156.9,105.0,sedentario,bajar,1750.8,131.3,175.1,58.4
45,hombre,180.2,106.6,sedentario,subir,2766.7,207.5,276.7,92.2
40,mujer,166.1,83.3,sedentario,bajar,1312.1,98.4,131.2,43.7
20,mujer,166.7,64.4,muy_intenso,subir,3107.3,233.0,310.7,103.6
30,hombre,176.0,89.8,intenso,mantener,3196.4,239.7,319.6,106.5
32,mujer,177.0,69.5,intenso,bajar,2053.4,154.0,205.3,68.4
56,mujer,184.3,63.5,intenso,mantener,2321.6,174.1,232.2,77.4
18,mujer,191.6,71.7,moderado,bajar,2078.4,155.9,207.8,69.3
31,hombre,158.3,103.9,muy_intenso,bajar,3068.9,230.2,306.9,102.3
19,mujer,157.5,86.9,intenso,subir,3155.5,236.7,315.5,105.2
43,hombre,157.1,62.8,moderado,subir,2569.8,192.7,257.0,85.7
49,hombre,155.1,63.4,muy_intenso,bajar,2090.4,156.8,209.0,69.7
55,mujer,191.7,105.3,moderado,subir,3213.4,241.0,321.3,107.1
60,mujer,153.9,77.1,intenso,bajar,1694.0,127.0,169.4,56.5
31,mujer,156.1,91.1,moderado,bajar,1934.5,145.1,193.4,64.5
38,hombre,194.8,70.8,ligero,mantener,2393.2,179.5,239.3,79.8
52,mujer,176.1,104.6,sedentario,subir,2470.8,185.3,247.1,82.4
47,hombre,179.1,68.8,sedentario,mantener,1892.8,142.0,189.3,63.1
22,hombre,193.7,103.9,intenso,bajar,3199.5,240.0,319.9,106.6
59,hombre,155.3,99.9,moderado,mantener,2603.4,195.3,260.3,86.8
18,mujer,169.1,100.3,intenso,bajar,2620.3,196.5,262.0,87.3
64,mujer,187.1,91.3,muy_intenso,mantener,3042.6,228.2,304.3,101.4
33,mujer,158.9,83.2,intenso,mantener,2586.0,193.9,258.6,86.2
50,mujer,189.4,77.1,moderado,bajar,1892.8,142.0,189.3,63.1
46,mujer,182.8,68.8,moderado,subir,2631.2,197.3,263.1,87.7
33,mujer,150.7,56.7,muy_intenso,mantener,2247.5,168.6,224.7,74.9
65,hombre,159.6,81.7,sedentario,mantener,1793.4,134.5,179.3,59.8
65,mujer,155.3,98.3,moderado,subir,2674.8,200.6,267.5,89.2
51,hombre,180.3,106.3,muy_intenso,mantener,3685.8,276.4,368.6,122.9
60,hombre,159.5,109.0,sedentario,mantener,2150.2,161.3,215.0,71.7
55,hombre,181.6,80.6,muy_intenso,mantener,3174.9,238.1,317.5,105.8
42,hombre,179.7,85.3,intenso,bajar,2555.2,191.6,255.5,85.2
58,hombre,187.7,94.7,muy_intenso,bajar,2986.7,224.0,298.7,99.6
53,hombre,153.4,73.6,moderado,bajar,1723.9,129.3,172.4,57.5
52,mujer,187.0,104.3,muy_intenso,bajar,2902.4,217.7,290.2,96.7
27,mujer,150.2,85.4,muy_intenso,bajar,2343.8,175.8,234.4,78.1
40,hombre,152.0,86.0,intenso,bajar,2285.9,171.4,228.6,76.2
57,hombre,189.5,75.4,muy_intenso,mantener,3150.9,236.3,315.1,105.0
53,hombre,185.0,98.9,ligero,subir,2992.2,224.4,299.2,99.7
23,hombre,165.3,89.2,sedentario,subir,2578.2,193.4,257.8,85.9
18,mujer,155.8,107.5,muy_intenso,mantener,3415.7,256.2,341.6,113.9
60,mujer,192.9,105.4,sedentario,mantener,2158.3,161.9,215.8,71.9
41,hombre,170.4,66.6,intenso,mantener,2641.0,198.1,264.1,88.0
64,mujer,186.5,97.4,sedentario,mantener,1990.3,149.3,199.0,66.3
43,hombre,192.5,86.1,muy_intenso,subir,3922.8,294.2,392.3,130.8
58,mujer,182.6,54.5,ligero,mantener,1698.5,127.4,169.8,56.6
45,mujer,189.9,70.1,muy_intenso,bajar,2353.6,176.5,235.4,78.5
29,hombre,156.4,75.3,muy_intenso,subir,3421.9,256.6,342.2,114.1
62,mujer,158.3,91.3,sedentario,bajar,1217.6,91.3,121.8,40.6
24,hombre,164.7,91.4,muy_intenso,mantener,3473.9,260.5,347.4,115.8
38,mujer,155.7,86.6,moderado,subir,2706.6,203.0,270.7,90.2
23,hombre,156.1,63.7,intenso,mantener,2592.0,194.4,259.2,86.4
37,hombre,181.2,104.3,ligero,bajar,2243.8,168.3,224.4,74.8
44,mujer,172.7,46.2,muy_intenso,bajar,1704.7,127.9,170.5,56.8
58,mujer,157.3,96.3,moderado,bajar,1817.4,136.3,181.7,60.6
60,mujer,171.9,76.2,intenso,bajar,1872.5,140.4,187.3,62.4
65,mujer,154.9,51.7,ligero,subir,1773.8,133.0,177.4,59.1
47,hombre,170.9,94.3,muy_intenso,mantener,3384.1,253.8,338.4,112.8
62,mujer,159.4,50.0,moderado,bajar,1200,90.0,120.0,40.0
52,mujer,176.4,64.3,moderado,subir,2453.0,184.0,245.3,81.8
29,mujer,155.8,55.9,muy_intenso,bajar,1830.8,137.3,183.1,61.0
60,hombre,187.5,96.7,ligero,bajar,2035.3,152.6,203.5,67.8
29,hombre,171.9,106.4,intenso,subir,3847.2,288.5,384.7,128.2
38,mujer,180.0,72.7,intenso,mantener,2589.2,194.2,258.9,86.3
51,hombre,177.8,75.4,intenso,bajar,2286.3,171.5,228.6,76.2
65,hombre,167.9,69.8,intenso,mantener,2462.2,184.7,246.2,82.1
39,hombre,177.0,103.7,sedentario,subir,2743.9,205.8,274.4,91.5
49,hombre,163.9,90.9,intenso,bajar,2421.1,181.6,242.1,80.7
53,hombre,157.4,95.2,sedentario,subir,2410.9,180.8,241.1,80.4
37,hombre,182.4,88.4,sedentario,mantener,2212.8,166.0,221.3,73.8
62,mujer,185.7,77.1,intenso,mantener,2519.6,189.0,252.0,84.0
56,mujer,162.7,93.8,sedentario,bajar,1316.6,98.7,131.7,43.9
41,mujer,185.6,82.9,intenso,bajar,2299.7,172.5,230.0,76.7
34,mujer,190.6,105.8,muy_intenso,bajar,3144.7,235.9,314.5,104.8
62,hombre,188.5,91.3,sedentario,bajar,1643.3,123.3,164.3,54.8
24,mujer,180.4,46.0,sedentario,subir,1967.8,147.6,196.8,65.6
55,mujer,193.3,50.6,moderado,mantener,1981.1,148.6,198.1,66.0
30,mujer,188.7,78.2,intenso,subir,3246.9,243.5,324.7,108.2
34,hombre,187.7,59.5,intenso,bajar,2265.4,169.9,226.5,75.5
47,hombre,155.0,99.1,muy_intenso,mantener,3286.5,246.5,328.7,109.6
58,mujer,164.4,94.6,intenso,bajar,2126.3,159.5,212.6,70.9
44,mujer,165.0,108.6,moderado,bajar,2191.2,164.3,219.1,73.0
33,hombre,154.3,62.2,moderado,mantener,2210.9,165.8,221.1,73.7
38,mujer,170.4,64.2,muy_intenso,bajar,2076.4,155.7,207.6,69.2
25,mujer,160.9,87.1,muy_intenso,subir,3422.2,256.7,342.2,114.1
60,hombre,160.9,65.1,moderado,subir,2510.5,188.3,251.1,83.7
51,hombre,159.8,99.2,ligero,subir,2793.5,209.5,279.4,93.1
50,hombre,194.8,46.3,sedentario,mantener,1722.6,129.2,172.3,57.4
63,mujer,189.5,99.3,muy_intenso,mantener,3232.6,242.4,323.3,107.8
42,hombre,173.0,79.5,muy_intenso,subir,3575.4,268.2,357.5,119.2
40,mujer,188.7,97.0,intenso,mantener,3084.9,231.4,308.5,102.8
38,hombre,165.8,79.7,intenso,bajar,2343.2,175.7,234.3,78.1
63,mujer,180.2,83.7,muy_intenso,bajar,2325.8,174.4,232.6,77.5
38,hombre,165.1,72.9,muy_intenso,mantener,2994.2,224.6,299.4,99.8
53,hombre,156.4,105.9,muy_intenso,subir,3775.3,283.2,377.5,125.8
37,mujer,178.9,103.3,ligero,bajar,1982.0,148.7,198.2,66.1
55,hombre,187.6,90.1,muy_intenso,mantener,3426.6,257.0,342.7,114.2
33,mujer,160.1,100.9,sedentario,bajar,1520.3,114.0,152.0,50.7
52,hombre,188.7,70.9,ligero,subir,2645.9,198.4,264.6,88.2
50,mujer,154.4,57.5,muy_intenso,subir,2545.1,190.9,254.5,84.8
54,mujer,150.1,94.4,ligero,mantener,1995.3,149.6,199.5,66.5
64,mujer,169.2,96.0,muy_intenso,subir,3319.3,249.0,331.9,110.6
22,hombre,194.4,60.5,moderado,subir,3058.2,229.4,305.8,101.9
29,hombre,193.6,89.6,sedentario,mantener,2359.2,176.9,235.9,78.6
65,hombre,172.9,61.1,intenso,subir,2766.1,207.5,276.6,92.2
65,hombre,177.1,88.4,ligero,mantener,2297.5,172.3,229.7,76.6
52,hombre,157.7,99.5,muy_intenso,subir,3678.7,275.9,367.9,122.6
42,hombre,159.9,109.7,intenso,bajar,2762.6,207.2,276.3,92.1
52,mujer,188.4,60.9,ligero,bajar,1377.6,103.3,137.8,45.9
65,hombre,162.3,77.2,intenso,bajar,2029.5,152.2,202.9,67.6
49,hombre,164.5,87.7,ligero,bajar,1789.5,134.2,179.0,59.7
63,mujer,190.3,106.3,intenso,mantener,3064.2,229.8,306.4,102.1
43,mujer,161.9,76.2,ligero,subir,2322.1,174.2,232.2,77.4
47,hombre,184.8,55.7,intenso,subir,2956.5,221.7,295.6,98.5
50,mujer,187.6,55.1,intenso,bajar,1764.1,132.3,176.4,58.8
37,hombre,155.3,73.3,ligero,bajar,1595.0,119.6,159.5,53.2
19,mujer,161.7,94.4,intenso,subir,3330.1,249.8,333.0,111.0
36,hombre,160.9,67.4,moderado,bajar,1832.2,137.4,183.2,61.1
49,hombre,154.6,96.5,intenso,mantener,2917.4,218.8,291.7,97.2
50,mujer,170.8,103.7,moderado,mantener,2624.9,196.9,262.5,87.5
41,hombre,174.8,100.2,muy_intenso,mantener,3599.5,270.0,360.0,120.0
19,hombre,151.1,97.1,moderado,bajar,2329.3,174.7,232.9,77.6
21,hombre,178.2,57.0,moderado,subir,2854.8,214.1,285.5,95.2
45,mujer,167.1,100.2,moderado,bajar,2073.6,155.5,207.4,69.1
54,hombre,160.6,71.1,moderado,bajar,1747.1,131.0,174.7,58.2
40,mujer,175.3,62.8,sedentario,bajar,1200,90.0,120.0,40.0
59,hombre,183.7,104.2,sedentario,mantener,2280.2,171.0,228.0,76.0
57,hombre,151.5,60.3,sedentario,mantener,1523.8,114.3,152.4,50.8
65,mujer,153.3,87.1,muy_intenso,mantener,2551.9,191.4,255.2,85.1
32,hombre,156.9,107.0,moderado,mantener,2938.2,220.4,293.8,97.9
30,hombre,190.8,71.6,intenso,subir,3442.0,258.2,344.2,114.7
51,hombre,190.4,65.5,intenso,subir,3151.4,236.4,315.1,105.0
38,hombre,176.8,78.5,ligero,mantener,2344.4,175.8,234.4,78.1
37,hombre,178.2,107.8,muy_intenso,mantener,3822.3,286.7,382.2,127.4
23,hombre,170.3,68.2,sedentario,mantener,1963.6,147.3,196.4,65.5
34,mujer,180.9,64.1,muy_intenso,bajar,2237.2,167.8,223.7,74.6
60,mujer,160.9,102.5,intenso,bajar,2207.6,165.6,220.8,73.6
22,mujer,167.3,55.0,muy_intenso,mantener,2516.8,188.8,251.7,83.9
47,hombre,184.6,87.5,sedentario,mantener,2158.5,161.9,215.9,71.9
26,hombre,160.0,103.5,ligero,mantener,2626.2,197.0,262.6,87.5
62,hombre,163.4,63.0,ligero,bajar,1351.1,101.3,135.1,45.0
43,mujer,187.3,66.8,muy_intenso,subir,3179.0,238.4,317.9,106.0
34,mujer,157.1,60.0,intenso,mantener,2157.8,161.8,215.8,71.9
55,mujer,175.7,51.7,muy_intenso,subir,2640.3,198.0,264.0,88.0
55,hombre,176.1,93.2,intenso,subir,3440.5,258.0,344.1,114.7
49,hombre,188.8,92.2,muy_intenso,mantener,3537.8,265.3,353.8,117.9
29,hombre,190.4,85.2,ligero,bajar,2115.2,158.6,211.5,70.5
55,mujer,173.8,65.9,intenso,bajar,1758.5,131.9,175.8,58.6
51,hombre,194.4,64.7,sedentario,mantener,1934.4,145.1,193.4,64.5
28,hombre,188.6,108.1,ligero,bajar,2421.5,181.6,242.2,80.7
58,hombre,180.0,81.5,moderado,mantener,2565.2,192.4,256.5,85.5
50,hombre,161.3,70.1,ligero,mantener,2013.2,151.0,201.3,67.1
29,mujer,190.7,47.4,intenso,mantener,2345.8,175.9,234.6,78.2
35,hombre,194.1,61.2,moderado,bajar,2065.4,154.9,206.5,68.8
62,hombre,170.0,77.3,ligero,subir,2504.4,187.8,250.4,83.5
24,hombre,166.4,58.2,sedentario,subir,2208.4,165.6,220.8,73.6
