calorias_diarias,proteina_g,carbohidratos_g,grasas_g
1517.5,113.8,151.7,50.6
2577.7,193.3,257.8,85.9
2705.5,202.9,270.5,90.2
2076.4,155.7,207.6,69.2
1709.3,128.2,170.9,57.0
2207.8,165.6,220.8,73.6
1988.6,149.1,198.9,66.3
3775.3,283.2,377.5,125.8
2095.2,157.1,209.5,69.8
3357.1,251.8,335.7,111.9
2041.4,153.1,204.1,68.0
1659.3,124.4,165.9,55.3
2313.5,173.5,231.3,77.1
2367.3,177.5,236.7,78.9
1440.1,108.0,144.0,48.0
1967.8,147.6,196.8,65.6
2550.0,191.3,255.0,85.0
2075.7,155.7,207.6,69.2
2599.1,194.9,259.9,86.6
2531.7,189.9,253.2,84.4
2671.9,200.4,267.2,89.1
2422.9,181.7,242.3,80.8
2247.5,168.6,224.7,74.9
2690.2,201.8,269.0,89.7
2136.7,160.3,213.7,71.2
2491.7,186.9,249.2,83.1
2627.2,197.0,262.7,87.6
2315.1,173.6,231.5,77.2
2226.5,167.0,222.7,74.2
2575.2,193.1,257.5,85.8
1908.0,143.1,190.8,63.6
2058.4,154.4,205.8,68.6
2204.5,165.3,220.5,73.5
1714.0,128.6,171.4,57.1
3107.3,233.0,310.7,103.6
3119.7,234.0,312.0,104.0
2825.9,211.9,282.6,94.2
2420.9,181.6,242.1,80.7
2973.8,223.0,297.4,99.1
2337.1,175.3,233.7,77.9
2164.0,162.3,216.4,72.1
2512.4,188.4,251.2,83.7
2608.9,195.7,260.9,87.0
2920.8,219.1,292.1,97.4
3470.8,260.3,347.1,115.7
1967.1,147.5,196.7,65.6
2985.5,223.9,298.5,99.5
1974.5,148.1,197.4,65.8
1650.6,123.8,165.1,55.0
2856.8,214.3,285.7,95.2
2624.9,196.9,262.5,87.5
1530.0,114.8,153.0,51.0
2274.7,170.6,227.5,75.8
3445.3,258.4,344.5,114.8
1763.2,132.2,176.3,58.8
2208.6,165.6,220.9,73.6
2756.1,206.7,275.6,91.9
4177.9,313.3,417.8,139.3
2751.4,206.4,275.1,91.7
2432.7,182.5,243.3,81.1
1880.1,141.0,188.0,62.7
3498.1,262.4,349.8,116.6
3413.8,256.0,341.4,113.8
1781.8,133.6,178.2,59.4
2394.9,179.6,239.5,79.8
2351.2,176.3,235.1,78.4
3291.5,246.9,329.2,109.7
1825.8,136.9,182.6,60.9
2406.0,180.4,240.6,80.2
1200.0,90.0,120.0,40.0
2965.7,222.4,296.6,98.9
2528.8,189.7,252.9,84.3
2069.9,155.2,207.0,69.0
1523.7,114.3,152.4,50.8
2942.0,220.7,294.2,98.1
2322.2,174.2,232.2,77.4
2218.6,166.4,221.9,74.0
1263.4,94.8,126.3,42.1
1464.7,109.9,146.5,48.8
2326.9,174.5,232.7,77.6
2352.1,176.4,235.2,78.4
1959.5,147.0,195.9,65.3
2261.6,169.6,226.2,75.4
3022.4,226.7,302.2,100.7
2073.2,155.5,207.3,69.1
1826.5,137.0,182.7,60.9
2336.3,175.2,233.6,77.9
1200.0,90.0,120.0,40.0
1200.0,90.0,120.0,40.0
3523.4,264.3,352.3,117.4
3061.9,229.6,306.2,102.1
2325.4,174.4,232.5,77.5
3029.4,227.2,302.9,101.0
2957.9,221.8,295.8,98.6
2274.6,170.6,227.5,75.8
2001.0,150.1,200.1,66.7
2574.6,193.1,257.5,85.8
1448.9,108.7,144.9,48.3
3616.2,271.2,361.6,120.5
2066.8,155.0,206.7,68.9
3500.0,262.5,350.0,116.7
2571.8,192.9,257.2,85.7
2461.2,184.6,246.1,82.0
2342.5,175.7,234.3,78.1
2183.1,163.7,218.3,72.8
1898.0,142.3,189.8,63.3
2702.6,202.7,270.3,90.1
2525.4,189.4,252.5,84.2
2076.3,155.7,207.6,69.2
2802.3,210.2,280.2,93.4
2692.9,202.0,269.3,89.8
2581.1,193.6,258.1,86.0
1300.6,97.5,130.1,43.4
2327.9,174.6,232.8,77.6
1748.9,131.2,174.9,58.3
2963.8,222.3,296.4,98.8
2161.0,162.1,216.1,72.0
2674.0,200.6,267.4,89.1
2995.5,224.7,299.5,99.8
1704.2,127.8,170.4,56.8
1942.7,145.7,194.3,64.8
1319.5,99.0,131.9,44.0
2292.3,171.9,229.2,76.4
2670.9,200.3,267.1,89.0
2367.1,177.5,236.7,78.9
2631.5,197.4,263.2,87.7
2226.6,167.0,222.7,74.2
1902.3,142.7,190.2,63.4
2304.0,172.8,230.4,76.8
2516.8,188.8,251.7,83.9
2726.3,204.5,272.6,90.9
2295.9,172.2,229.6,76.5
2856.4,214.2,285.6,95.2
3695.3,277.1,369.5,123.2
2085.8,156.4,208.6,69.5
2576.9,193.3,257.7,85.9
1478.2,110.9,147.8,49.3
1870.2,140.3,187.0,62.3
1990.0,149.2,199.0,66.3
2376.7,178.3,237.7,79.2
3220.0,241.5,322.0,107.3
2040.1,153.0,204.0,68.0
1610.8,120.8,161.1,53.7
2418.0,181.4,241.8,80.6
2278.5,170.9,227.9,76.0
2747.2,206.0,274.7,91.6
2947.4,221.1,294.7,98.2
3491.6,261.9,349.2,116.4
2863.7,214.8,286.4,95.5
3269.1,245.2,326.9,109.0
2243.8,168.3,224.4,74.8
2730.2,204.8,273.0,91.0
1667.5,125.1,166.7,55.6
2086.1,156.5,208.6,69.5
2752.6,206.4,275.3,91.8
3201.8,240.1,320.2,106.7
1825.0,136.9,182.5,60.8
1597.0,119.8,159.7,53.2
2538.8,190.4,253.9,84.6
2625.6,196.9,262.6,87.5
2308.9,173.2,230.9,77.0
1711.3,128.3,171.1,57.0
2086.6,156.5,208.7,69.6
1932.6,144.9,193.3,64.4
3065.6,229.9,306.6,102.2
2007.1,150.5,200.7,66.9
2746.9,206.0,274.7,91.6
2559.4,192.0,255.9,85.3
2692.3,201.9,269.2,89.7
1995.8,149.7,199.6,66.5
2391.8,179.4,239.2,79.7
2372.5,177.9,237.2,79.1
1274.1,95.6,127.4,42.5
3541.2,265.6,354.1,118.0
1952.0,146.4,195.2,65.1
1980.4,148.5,198.0,66.0
1867.8,140.1,186.8,62.3
2640.8,198.1,264.1,88.0
2149.1,161.2,214.9,71.6
1200.0,90.0,120.0,40.0
2390.9,179.3,239.1,79.7
2242.0,168.2,224.2,74.7
2777.1,208.3,277.7,92.6
2041.5,153.1,204.2,68.1
2712.2,203.4,271.2,90.4
2883.7,216.3,288.4,96.1
2788.3,209.1,278.8,92.9
2159.5,162.0,216.0,72.0
1442.0,108.2,144.2,48.1
2279.4,171.0,227.9,76.0
1521.6,114.1,152.2,50.7
2312.7,173.5,231.3,77.1
2815.2,211.1,281.5,93.8
1510.8,113.3,151.1,50.4
1538.1,115.4,153.8,51.3
3248.7,243.7,324.9,108.3
3709.6,278.2,371.0,123.7
3522.2,264.2,352.2,117.4
1343.6,100.8,134.4,44.8
2194.3,164.6,219.4,73.1
2009.5,150.7,201.0,67.0
2906.4,218.0,290.6,96.9
1907.5,143.1,190.7,63.6
2479.3,185.9,247.9,82.6
2441.5,183.1,244.2,81.4
2717.8,203.8,271.8,90.6
2084.9,156.4,208.5,69.5
2237.2,167.8,223.7,74.6
1378.2,103.4,137.8,45.9
2677.5,200.8,267.7,89.2
3317.7,248.8,331.8,110.6
2629.8,197.2,263.0,87.7
2229.1,167.2,222.9,74.3
2476.0,185.7,247.6,82.5
2875.8,215.7,287.6,95.9
2664.5,199.8,266.4,88.8
1912.8,143.5,191.3,63.8
2266.9,170.0,226.7,75.6
1839.5,138.0,183.9,61.3
1799.0,134.9,179.9,60.0
3716.2,278.7,371.6,123.9
2080.4,156.0,208.0,69.3
3086.8,231.5,308.7,102.9
1606.4,120.5,160.6,53.5
1200.0,90.0,120.0,40.0
3434.5,257.6,343.5,114.5
2437.8,182.8,243.8,81.3
2109.2,158.2,210.9,70.3
2635.0,197.6,263.5,87.8
3372.7,253.0,337.3,112.4
2456.5,184.2,245.7,81.9
2659.1,199.4,265.9,88.6
2413.6,181.0,241.4,80.5
2902.4,217.7,290.2,96.7
1895.7,142.2,189.6,63.2
1912.8,143.5,191.3,63.8
2554.3,191.6,255.4,85.1
2713.1,203.5,271.3,90.4
1294.0,97.1,129.4,43.1
2238.1,167.9,223.8,74.6
3291.1,246.8,329.1,109.7
1855.6,139.2,185.6,61.9
2550.2,191.3,255.0,85.0
3709.3,278.2,370.9,123.6
1200.0,90.0,120.0,40.0
2094.7,157.1,209.5,69.8
2984.5,223.8,298.4,99.5
3500.3,262.5,350.0,116.7
1240.1,93.0,124.0,41.3
2811.7,210.9,281.2,93.7
1891.3,141.9,189.1,63.0
2163.1,162.2,216.3,72.1
3303.5,247.8,330.4,110.1
2161.8,162.1,216.2,72.1
3109.9,233.2,311.0,103.7
2426.7,182.0,242.7,80.9
2959.7,222.0,296.0,98.7
2078.1,155.9,207.8,69.3
1866.0,140.0,186.6,62.2
3892.0,291.9,389.2,129.7
1851.8,138.9,185.2,61.7
2110.0,158.2,211.0,70.3
3531.0,264.8,353.1,117.7
2169.7,162.7,217.0,72.3
2109.9,158.2,211.0,70.3
2020.2,151.5,202.0,67.3
2404.0,180.3,240.4,80.1
3411.8,255.9,341.2,113.7
2562.1,192.2,256.2,85.4
3442.0,258.2,344.2,114.7
3511.0,263.3,351.1,117.0
3494.1,262.1,349.4,116.5
2562.6,192.2,256.3,85.4
3589.1,269.2,358.9,119.6
3177.5,238.3,317.7,105.9
1785.3,133.9,178.5,59.5
2146.2,161.0,214.6,71.5
2976.9,223.3,297.7,99.2
2481.2,186.1,248.1,82.7
2915.2,218.6,291.5,97.2
1702.9,127.7,170.3,56.8
3822.3,286.7,382.2,127.4
2667.3,200.0,266.7,88.9
2248.6,168.6,224.9,75.0
2279.9,171.0,228.0,76.0
3316.9,248.8,331.7,110.6
2433.8,182.5,243.4,81.1
2478.8,185.9,247.9,82.6
1200.0,90.0,120.0,40.0
2621.6,196.6,262.2,87.4
1778.0,133.4,177.8,59.3
3891.0,291.8,389.1,129.7
3037.4,227.8,303.7,101.2
2019.1,151.4,201.9,67.3
2659.6,199.5,266.0,88.7
1610.1,120.8,161.0,53.7
1900.9,142.6,190.1,63.4
1798.3,134.9,179.8,59.9
2064.6,154.8,206.5,68.8
2792.3,209.4,279.2,93.1
2329.3,174.7,232.9,77.6
2342.1,175.7,234.2,78.1
2178.2,163.4,217.8,72.6
1200.0,90.0,120.0,40.0
2054.1,154.1,205.4,68.5
2335.9,175.2,233.6,77.9
2000.3,150.0,200.0,66.7
2101.7,157.6,210.2,70.1
2770.4,207.8,277.0,92.3
1673.5,125.5,167.4,55.8
2360.2,177.0,236.0,78.7
2891.0,216.8,289.1,96.4
3649.0,273.7,364.9,121.6
2915.8,218.7,291.6,97.2
4102.9,307.7,410.3,136.8
2866.1,215.0,286.6,95.5
3723.1,279.2,372.3,124.1
3640.8,273.1,364.1,121.4
2788.4,209.1,278.8,92.9
2586.0,193.9,258.6,86.2
2615.1,196.1,261.5,87.2
1643.7,123.3,164.4,54.8
1747.5,131.1,174.7,58.2
2716.6,203.7,271.7,90.6
1201.8,90.1,120.2,40.1
1766.5,132.5,176.7,58.9
2100.5,157.5,210.0,70.0
3699.1,277.4,369.9,123.3
3072.9,230.5,307.3,102.4
3064.2,229.8,306.4,102.1
2348.2,176.1,234.8,78.3
2676.2,200.7,267.6,89.2
2933.2,220.0,293.3,97.8
3641.9,273.1,364.2,121.4
2654.3,199.1,265.4,88.5
2132.3,159.9,213.2,71.1
1766.5,132.5,176.6,58.9
2576.2,193.2,257.6,85.9
1240.3,93.0,124.0,41.3
2283.5,171.3,228.4,76.1
1570.9,117.8,157.1,52.4
3177.9,238.3,317.8,105.9
1205.2,90.4,120.5,40.2
2042.9,153.2,204.3,68.1
1694.0,127.0,169.4,56.5
2645.9,198.4,264.6,88.2
1728.7,129.7,172.9,57.6
1423.9,106.8,142.4,47.5
3549.6,266.2,355.0,118.3
2001.3,150.1,200.1,66.7
2640.5,198.0,264.1,88.0
2541.0,190.6,254.1,84.7
3111.9,233.4,311.2,103.7
2434.3,182.6,243.4,81.1
3039.5,228.0,303.9,101.3
3626.4,272.0,362.6,120.9
3283.3,246.3,328.3,109.4
2676.4,200.7,267.6,89.2
2476.8,185.8,247.7,82.6
3156.7,236.7,315.7,105.2
2286.3,171.5,228.6,76.2
2838.2,212.9,283.8,94.6
1720.5,129.0,172.1,57.3
3535.9,265.2,353.6,117.9
2186.6,164.0,218.7,72.9
1890.2,141.8,189.0,63.0
2899.1,217.4,289.9,96.6
1753.2,131.5,175.3,58.4
3054.8,229.1,305.5,101.8
2047.9,153.6,204.8,68.3
2855.3,214.1,285.5,95.2
2013.8,151.0,201.4,67.1
3232.6,242.4,323.3,107.8
1761.1,132.1,176.1,58.7
2061.8,154.6,206.2,68.7
1988.6,149.1,198.9,66.3
2643.4,198.3,264.3,88.1
2848.1,213.6,284.8,94.9
1632.3,122.4,163.2,54.4
1200.0,90.0,120.0,40.0
1727.5,129.6,172.8,57.6
2622.9,196.7,262.3,87.4
3276.4,245.7,327.6,109.2
2613.6,196.0,261.4,87.1
1398.1,104.9,139.8,46.6
2322.2,174.2,232.2,77.4
1991.7,149.4,199.2,66.4
2352.4,176.4,235.2,78.4
3211.5,240.9,321.2,107.1
1491.7,111.9,149.2,49.7
2359.5,177.0,236.0,78.7
1374.9,103.1,137.5,45.8
2131.2,159.8,213.1,71.0
3034.2,227.6,303.4,101.1
1783.0,133.7,178.3,59.4
2565.1,192.4,256.5,85.5
1995.6,149.7,199.6,66.5
2493.7,187.0,249.4,83.1
1820.2,136.5,182.0,60.7
1596.4,119.7,159.6,53.2
1206.4,90.5,120.6,40.2
2883.9,216.3,288.4,96.1
2914.8,218.6,291.5,97.2
2571.7,192.9,257.2,85.7
1772.7,132.9,177.3,59.1
2280.2,171.0,228.0,76.0
2340.3,175.5,234.0,78.0
2506.4,188.0,250.6,83.5
1698.3,127.4,169.8,56.6
2261.2,169.6,226.1,75.4
3088.0,231.6,308.8,102.9
2085.0,156.4,208.5,69.5
2279.6,171.0,228.0,76.0
1971.9,147.9,197.2,65.7
2066.2,155.0,206.6,68.9
1843.1,138.2,184.3,61.4
2512.4,188.4,251.2,83.7
2568.7,192.7,256.9,85.6
3048.0,228.6,304.8,101.6
1771.3,132.8,177.1,59.0
2340.4,175.5,234.0,78.0
2197.9,164.8,219.8,73.3
2832.0,212.4,283.2,94.4
2306.8,173.0,230.7,76.9
1436.3,107.7,143.6,47.9
1980.0,148.5,198.0,66.0
1519.0,113.9,151.9,50.6
2643.1,198.2,264.3,88.1
4028.5,302.1,402.9,134.3
3023.5,226.8,302.3,100.8
2327.5,174.6,232.8,77.6
3314.6,248.6,331.5,110.5
2961.8,222.1,296.2,98.7
2035.3,152.6,203.5,67.8
2787.6,209.1,278.8,92.9
1359.8,102.0,136.0,45.3
3520.8,264.1,352.1,117.4
1594.8,119.6,159.5,53.2
2429.4,182.2,242.9,81.0
1864.8,139.9,186.5,62.2
1611.1,120.8,161.1,53.7
3271.7,245.4,327.2,109.1
1488.7,111.6,148.9,49.6
2659.8,199.5,266.0,88.7
2878.2,215.9,287.8,95.9
3173.4,238.0,317.3,105.8
1873.1,140.5,187.3,62.4
2465.8,184.9,246.6,82.2
3167.5,237.6,316.8,105.6
1667.7,125.1,166.8,55.6
2534.5,190.1,253.4,84.5
3124.2,234.3,312.4,104.1
2410.9,180.8,241.1,80.4
1592.2,119.4,159.2,53.1
2130.0,159.8,213.0,71.0
1391.0,104.3,139.1,46.4
1877.7,140.8,187.8,62.6
2715.4,203.7,271.5,90.5
3091.5,231.9,309.2,103.1
2747.9,206.1,274.8,91.6
3097.6,232.3,309.8,103.3
1631.5,122.4,163.2,54.4
2021.2,151.6,202.1,67.4
1230.4,92.3,123.0,41.0
1747.1,131.0,174.7,58.2
3317.0,248.8,331.7,110.6
2441.5,183.1,244.2,81.4
2472.2,185.4,247.2,82.4
3361.0,252.1,336.1,112.0
2516.6,188.7,251.7,83.9
2053.9,154.0,205.4,68.5
1200.0,90.0,120.0,40.0
2343.2,175.7,234.3,78.1
2264.0,169.8,226.4,75.5
3973.2,298.0,397.3,132.4
1472.8,110.5,147.3,49.1
2319.2,173.9,231.9,77.3
1285.3,96.4,128.5,42.8
2440.5,183.0,244.0,81.3
2438.0,182.8,243.8,81.3
2199.5,165.0,219.9,73.3
2289.8,171.7,229.0,76.3
2211.1,165.8,221.1,73.7
3179.0,238.4,317.9,106.0
2959.5,222.0,296.0,98.7
1636.7,122.8,163.7,54.6
3336.2,250.2,333.6,111.2
1915.5,143.7,191.5,63.8
3728.2,279.6,372.8,124.3
1848.8,138.7,184.9,61.6
3042.3,228.2,304.2,101.4
1758.4,131.9,175.8,58.6
2402.3,180.2,240.2,80.1
2332.7,175.0,233.3,77.8
2328.7,174.7,232.9,77.6
2591.6,194.4,259.2,86.4
1200.0,90.0,120.0,40.0
3364.2,252.3,336.4,112.1
2765.7,207.4,276.6,92.2
1923.3,144.2,192.3,64.1
2173.3,163.0,217.3,72.4
2405.2,180.4,240.5,80.2
2208.3,165.6,220.8,73.6
1350.1,101.3,135.0,45.0
1260.2,94.5,126.0,42.0
1294.6,97.1,129.5,43.2
2585.2,193.9,258.5,86.2
2637.1,197.8,263.7,87.9
1616.1,121.2,161.6,53.9
3495.6,262.2,349.6,116.5
2182.6,163.7,218.3,72.8
2089.1,156.7,208.9,69.6
2375.0,178.1,237.5,79.2
3034.7,227.6,303.5,101.2
1200.0,90.0,120.0,40.0
3030.6,227.3,303.1,101.0
2101.1,157.6,210.1,70.0
3028.1,227.1,302.8,100.9
2567.1,192.5,256.7,85.6
2078.2,155.9,207.8,69.3
1990.9,149.3,199.1,66.4
1441.0,108.1,144.1,48.0
3649.3,273.7,364.9,121.6
2448.8,183.7,244.9,81.6
1700.4,127.5,170.0,56.7
1922.7,144.2,192.3,64.1
3615.6,271.2,361.6,120.5
1907.5,143.1,190.8,63.6
2114.9,158.6,211.5,70.5
2706.6,203.0,270.7,90.2
3605.5,270.4,360.6,120.2
2890.3,216.8,289.0,96.3
1316.6,98.7,131.7,43.9
2244.7,168.3,224.5,74.8
1654.0,124.0,165.4,55.1
2047.8,153.6,204.8,68.3
2380.9,178.6,238.1,79.4
2713.8,203.5,271.4,90.5
3111.3,233.3,311.1,103.7
2422.8,181.7,242.3,80.8
2984.9,223.9,298.5,99.5
3283.4,246.3,328.3,109.4
3423.3,256.7,342.3,114.1
1733.5,130.0,173.4,57.8
1814.5,136.1,181.4,60.5
2020.8,151.6,202.1,67.4
1305.4,97.9,130.5,43.5
3889.9,291.7,389.0,129.7
2891.1,216.8,289.1,96.4
3246.9,243.5,324.7,108.2
1805.9,135.4,180.6,60.2
1827.3,137.0,182.7,60.9
1830.9,137.3,183.1,61.0
1635.1,122.6,163.5,54.5
2099.7,157.5,210.0,70.0
2753.9,206.5,275.4,91.8
3288.1,246.6,328.8,109.6
2932.5,219.9,293.3,97.8
1634.7,122.6,163.5,54.5
2708.0,203.1,270.8,90.3
2464.5,184.8,246.5,82.2
2299.8,172.5,230.0,76.7
1230.0,92.2,123.0,41.0
3543.7,265.8,354.4,118.1
2240.7,168.1,224.1,74.7
2766.1,207.5,276.6,92.2
2330.9,174.8,233.1,77.7
1205.5,90.4,120.6,40.2
1813.5,136.0,181.4,60.4
1787.5,134.1,178.7,59.6
2365.0,177.4,236.5,78.8
3069.4,230.2,306.9,102.3
1948.9,146.2,194.9,65.0
2710.8,203.3,271.1,90.4
2485.5,186.4,248.5,82.8
2669.7,200.2,267.0,89.0
1251.8,93.9,125.2,41.7
2375.1,178.1,237.5,79.2
2516.6,188.7,251.7,83.9
2574.7,193.1,257.5,85.8
2706.8,203.0,270.7,90.2
2758.3,206.9,275.8,91.9
1212.1,90.9,121.2,40.4
3094.5,232.1,309.4,103.1
2246.2,168.5,224.6,74.9
2588.5,194.1,258.9,86.3
2634.2,197.6,263.4,87.8
2240.8,168.1,224.1,74.7
2181.9,163.6,218.2,72.7
1925.1,144.4,192.5,64.2
2903.4,217.8,290.3,96.8
2496.6,187.2,249.7,83.2
2801.4,210.1,280.1,93.4
2198.2,164.9,219.8,73.3
2306.6,173.0,230.7,76.9
3574.4,268.1,357.4,119.1
1598.3,119.9,159.8,53.3
2692.0,201.9,269.2,89.7
2307.7,173.1,230.8,76.9
1575.2,118.1,157.5,52.5
2408.7,180.7,240.9,80.3
1200.0,90.0,120.0,40.0
2727.2,204.5,272.7,90.9
1200.0,90.0,120.0,40.0
3094.4,232.1,309.4,103.1
3168.8,237.7,316.9,105.6
3128.3,234.6,312.8,104.3
2304.4,172.8,230.4,76.8
2008.3,150.6,200.8,66.9
1578.0,118.3,157.8,52.6
2185.8,163.9,218.6,72.9
2459.4,184.5,245.9,82.0
2051.2,153.8,205.1,68.4
1691.3,126.8,169.1,56.4
3122.1,234.2,312.2,104.1
2902.3,217.7,290.2,96.7
1433.0,107.5,143.3,47.8
2171.1,162.8,217.1,72.4
2525.9,189.4,252.6,84.2
3678.7,275.9,367.9,122.6
2522.6,189.2,252.3,84.1
2111.8,158.4,211.2,70.4
2202.4,165.2,220.2,73.4
1934.0,145.0,193.4,64.5
1491.6,111.9,149.2,49.7
2294.3,172.1,229.4,76.5
2418.3,181.4,241.8,80.6
2728.8,204.7,272.9,91.0
2369.5,177.7,237.0,79.0
2373.2,178.0,237.3,79.1
2145.7,160.9,214.6,71.5
3567.1,267.5,356.7,118.9
1241.5,93.1,124.2,41.4
1302.5,97.7,130.3,43.4
2866.6,215.0,286.7,95.6
2396.2,179.7,239.6,79.9
1917.2,143.8,191.7,63.9
1670.3,125.3,167.0,55.7
2425.8,181.9,242.6,80.9
2230.0,167.3,223.0,74.3
2488.0,186.6,248.8,82.9
2152.8,161.5,215.3,71.8
2400.6,180.0,240.1,80.0
2938.2,220.4,293.8,97.9
1833.4,137.5,183.3,61.1
1646.4,123.5,164.6,54.9
3393.6,254.5,339.4,113.1
1840.9,138.1,184.1,61.4
2811.4,210.9,281.1,93.7
3268.5,245.1,326.8,108.9
2375.4,178.2,237.5,79.2
1915.9,143.7,191.6,63.9
2800.1,210.0,280.0,93.3
1874.6,140.6,187.5,62.5
2349.0,176.2,234.9,78.3
3336.2,250.2,333.6,111.2
2827.1,212.0,282.7,94.2
2521.8,189.1,252.2,84.1
1200.0,90.0,120.0,40.0
2249.2,168.7,224.9,75.0
2007.1,150.5,200.7,66.9
2576.5,193.2,257.6,85.9
2905.5,217.9,290.6,96.9
3323.6,249.3,332.4,110.8
1416.8,106.3,141.7,47.2
1969.6,147.7,197.0,65.7
1807.6,135.6,180.8,60.3
2693.4,202.0,269.3,89.8
1986.4,149.0,198.6,66.2
1836.6,137.7,183.7,61.2
2362.2,177.2,236.2,78.7
3201.7,240.1,320.2,106.7
1565.5,117.4,156.6,52.2
2824.9,211.9,282.5,94.2
2505.4,187.9,250.5,83.5
2870.9,215.3,287.1,95.7
1683.3,126.3,168.3,56.1
1482.0,111.1,148.2,49.4
2347.4,176.1,234.7,78.2
2428.8,182.2,242.9,81.0
3116.3,233.7,311.6,103.9
1431.5,107.4,143.1,47.7
2201.1,165.1,220.1,73.4
2043.5,153.3,204.4,68.1
2338.4,175.4,233.8,77.9
2036.4,152.7,203.6,67.9
3180.8,238.6,318.1,106.0
2100.7,157.5,210.1,70.0
3085.2,231.4,308.5,102.8
2019.3,151.4,201.9,67.3
2906.4,218.0,290.6,96.9
2913.7,218.5,291.4,97.1
2263.0,169.7,226.3,75.4
2924.5,219.3,292.5,97.5
1987.9,149.1,198.8,66.3
3085.4,231.4,308.5,102.8
1417.4,106.3,141.7,47.2
2291.8,171.9,229.2,76.4
2191.2,164.3,219.1,73.0
1374.1,103.1,137.4,45.8
2817.9,211.3,281.8,93.9
2979.4,223.5,297.9,99.3
3012.1,225.9,301.2,100.4
1783.0,133.7,178.3,59.4
2674.8,200.6,267.5,89.2
2552.8,191.5,255.3,85.1
2355.1,176.6,235.5,78.5
2585.7,193.9,258.6,86.2
1555.3,116.6,155.5,51.8
3009.4,225.7,300.9,100.3
3867.5,290.1,386.7,128.9
2810.1,210.8,281.0,93.7
1644.7,123.3,164.5,54.8
2228.3,167.1,222.8,74.3
2683.7,201.3,268.4,89.5
3694.8,277.1,369.5,123.2
3847.2,288.5,384.7,128.2
1995.3,149.6,199.5,66.5
2126.1,159.5,212.6,70.9
2017.4,151.3,201.7,67.2
2459.3,184.4,245.9,82.0
2767.6,207.6,276.8,92.3
3059.1,229.4,305.9,102.0
1843.3,138.3,184.3,61.4
3165.8,237.4,316.6,105.5
2060.1,154.5,206.0,68.7
1933.1,145.0,193.3,64.4
1992.4,149.4,199.2,66.4
2863.5,214.8,286.3,95.4
2369.5,177.7,237.0,79.0
2426.1,182.0,242.6,80.9
